"section","code","specialist","status","first_available","last_booked","source_pdf_date","source_pdf_url"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510314","CT NEURO 1","HAS_SLOTS","26.06.2026. 19:30","05.06.2026. 17:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510356","CT NEURO 2","HAS_SLOTS","29.06.2026. 19:00","25.05.2026. 18:20","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510138","KABINET ZA DIGITALNI MAMOGRAF","HAS_SLOTS","27.02.2026. 11:30","11.02.2026. 11:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510158","KABINET ZA EKSPERTSKI UZ DOJKI SA CORE BIOPSIJOM","NO_SLOTS",,"31.03.2026. 09:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510218","KABINET ZA ULTRAZVUДЊNU DIJAGNOSTIKU","HAS_SLOTS","31.12.2026. 12:40","11.08.2026. 08:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510155","KONZILIJUM RADIOLOGA ZA DIJAGNOSTIKU BOLESTI DOJKE","HAS_SLOTS","30.04.2026. 10:55","09.04.2026. 09:35","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510325","MR BODY 1","NO_SLOTS",,"27.02.2025. 18:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510325","MR BODY 1","HAS_SLOTS","28.06.2026. 16:00","30.04.2026. 17:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510327","MR BODY 2","HAS_SLOTS","28.08.2026. 12:00","04.05.2026. 14:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510327","MR BODY 2","NO_SLOTS",,"30.05.2025. 10:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510315","MR BODY ONKOLOЕ KI 1","NO_SLOTS",,"23.02.2025. 10:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510315","MR BODY ONKOLOЕ KI 1","HAS_SLOTS","29.08.2026. 16:00","07.05.2026. 15:20","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510317","MR BODY ONKOLOЕ KI 2","HAS_SLOTS","24.06.2026. 19:00","27.04.2026. 14:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510317","MR BODY ONKOLOЕ KI 2","NO_SLOTS",,"26.02.2025. 18:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510367","MR DOJKI","NO_SLOTS",,"25.02.2025. 18:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510367","MR DOJKI","NO_SLOTS",,"24.02.2026. 19:20","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510337","MR ENTEROGRAFIJE","HAS_SLOTS","26.06.2026. 19:00","20.02.2026. 19:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510337","MR ENTEROGRAFIJE","NO_SLOTS",,"28.02.2025. 18:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510335","MR MSK 1","HAS_SLOTS","24.06.2026. 19:00","17.06.2026. 16:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510335","MR MSK 1","NO_SLOTS",,"26.02.2025. 18:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510347","MR MSK 2","NO_SLOTS",,"28.05.2025. 12:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510347","MR MSK 2","HAS_SLOTS","26.08.2026. 12:00","15.07.2026. 12:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510320","MR MSK 3","NO_SLOTS",,"31.05.2025. 15:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510320","MR MSK 3","NO_SLOTS",,"22.02.2025. 15:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510345","MR NEURO 1","HAS_SLOTS","31.08.2026. 19:00","25.07.2026. 11:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510345","MR NEURO 1","NO_SLOTS",,"30.05.2025. 12:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510357","MR NEURO 2","NO_SLOTS",,"26.05.2025. 12:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510357","MR NEURO 2","HAS_SLOTS","31.08.2026. 12:30","16.02.2026. 10:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510319","MR NEURO 3","NO_SLOTS",,"23.02.2025. 11:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510319","MR NEURO 3","NO_SLOTS",,"25.05.2025. 11:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","121109","AMBULANTA ZA DIGESTIVNU HIRURGIJU","HAS_SLOTS","25.02.2026. 13:50","23.02.2026. 11:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","121119","AMBULANTA ZA DIGESTIVNU HIRURGIJU 2","HAS_SLOTS","26.02.2026. 13:50","17.02.2026. 13:50","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","124109","AMBULANTA ZA ENDOKRINU HIRURGIJU","HAS_SLOTS","30.03.2026. 10:10","13.02.2026. 11:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","122209","AMBULANTA ZA HIRURGIJU DOJKE","HAS_SLOTS","27.02.2026. 13:50","11.02.2026. 12:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","120109","AMBULANTA ZA OPЕ TU HIRURGIJU 1","NO_SLOTS",,"20.02.2026. 13:50","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","120117","AMBULANTA ZA OPЕ TU HIRURGIJU 2","HAS_SLOTS","25.02.2026. 13:50","25.02.2026. 13:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","123209","AMBULANTA ZA PLASTIДЊNU HIRURGIJU","NO_SLOTS",,"26.02.2026. 13:50","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","123300","AMBULANTA ZA PLASTIДЊNU HIRURGIJU 2","NO_SLOTS",,"25.02.2026. 10:50","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","122109","AMBULANTA ZA TORAKALNU I EZOFAGEALNU HIRURGIJU","HAS_SLOTS","27.02.2026. 12:50","12.02.2026. 12:20","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","124209","AMBULANTA ZA VASKULARNU HIRURGIJU 1","NO_SLOTS",,"27.02.2026. 13:50","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"HIRURЕ KA KLINIKA","123420","AMBULANTA ZA VASKULARNU HIRURGIJU 2","NO_SLOTS",,"25.02.2026. 19:50","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","107130","CT DIJAGNOSTIKA","NO_SLOTS",,"30.12.2022. 10:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109238","CZA - AMBULANTA ZA DJEДЊIJU FIZIJATRIJU","NO_SLOTS",,"26.06.2025. 13:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109219","CZA - KAB. DEFEKTOLOG -OLIGOFRENOLOG","NO_SLOTS",,"25.02.2026. 13:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109229","CZA - KAB. DEFEKTOLOG -SOMATOPED","NO_SLOTS",,"31.12.2025. 20:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109209","CZA - KABINET DEFEKTOLOG -LOGOPED 1","NO_SLOTS",,"31.10.2025. 20:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109218","CZA - KABINET DEFEKTOLOG -LOGOPED 2","NO_SLOTS",,"31.10.2025. 13:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109217","CZA - KABINET DEFEKTOLOG -LOGOPED 3","NO_SLOTS",,"31.10.2025. 20:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109299","CZA - PSIHIJATRIJSKA AMBULANTA 1","NO_SLOTS",,"29.04.2026. 10:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109297","CZA - PSIHIJATRIJSKA AMBULANTA 2","NO_SLOTS",,"27.03.2026. 08:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109298","CZA - PSIHIJATRIJSKA AMBULANTA 3","NO_SLOTS",,"31.03.2026. 10:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109249","CZA - PSIHOLOЕ KI KABINET 1","HAS_SLOTS","30.04.2026. 20:15","03.03.2026. 15:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109259","CZA - PSIHOLOЕ KI KABINET 2","HAS_SLOTS","30.04.2026. 13:15","03.03.2026. 07:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109279","CZA - PSIHOLOЕ KI KABINET 3","NO_SLOTS",,"13.12.2023. 13:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109280","CZA - PSIHOLOЕ KI KABINET 4","NO_SLOTS",,"23.04.2025. 09:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109269","CZA - PSIHOLOЕ KI KABINET 5","HAS_SLOTS","30.03.2026. 20:15","04.03.2026. 07:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101609","DJEДЊIJA ALERGOLOЕ KA -IMUNOLOЕ KA AMBULANTA","NO_SLOTS",,"29.04.2026. 13:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","105109","DJEДЊIJA ANESTEZIOLOЕ KA AMBULANTA","HAS_SLOTS","30.04.2026. 16:50","11.02.2026. 16:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101209","DJEДЊIJA ENDOKRINOLOЕ KA AMBULANTA 1","HAS_SLOTS","30.04.2026. 12:20","28.04.2026. 11:20","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101709","DJEДЊIJA ENDOKRINOLOЕ KA AMBULANTA 2","HAS_SLOTS","29.04.2026. 12:20","25.03.2026. 11:20","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","102419","DJEДЊIJA FIZIJATRIJSKA AMBULANTA","HAS_SLOTS","28.04.2026. 13:40","28.04.2026. 09:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101509","DJEДЊIJA GASTROENTEROLOЕ KA AMBULANTA","HAS_SLOTS","30.04.2026. 13:40","01.04.2026. 09:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101109","DJEДЊIJA HEMATOLOЕ KA AMBULANTA","HAS_SLOTS","30.04.2026. 13:40","11.02.2026. 09:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","102108","DJEДЊIJA HIRURЕ KA AMBULANTA 1","HAS_SLOTS","30.04.2026. 13:50","11.02.2026. 11:20","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","102109","DJEДЊIJA HIRURЕ KA AMBULANTA 2","HAS_SLOTS","29.04.2026. 13:50","11.02.2026. 11:10","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101119","DJEДЊIJA KARDIOLOЕ KA AMBULANTA 1","HAS_SLOTS","30.04.2026. 13:30","11.02.2026. 12:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","102107","DJEДЊIJA KARDIOLOЕ KA AMBULANTA 2","HAS_SLOTS","30.04.2026. 13:30","16.02.2026. 11:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101219","DJEДЊIJA NEFROLOЕ KA AMBULANTA","HAS_SLOTS","30.04.2026. 13:40","11.02.2026. 09:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101329","DJEДЊIJA NEUROLOЕ KA AMBULANTA 1","NO_SLOTS",,"28.04.2026. 13:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101349","DJEДЊIJA NEUROLOЕ KA AMBULANTA 2","NO_SLOTS",,"30.04.2026. 13:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101359","DJEДЊIJA NEUROLOЕ KA AMBULANTA 3","NO_SLOTS",,"30.09.2024. 13:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","102320","DJEДЊIJA OFTALMOLOЕ KA AMBULANTA 2","HAS_SLOTS","30.04.2026. 13:40","02.04.2026. 08:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","102209","DJEДЊIJA ORL AMBULANTA","NO_SLOTS",,"30.04.2026. 12:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","102409","DJEДЊIJA ORTOPEDSKA AMBULANTA","HAS_SLOTS","28.04.2026. 13:45","14.04.2026. 11:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101520","DJEДЊIJA ORTOPEDSKA AMBULANTA - TRAUMA","HAS_SLOTS","30.04.2026. 19:45","03.03.2026. 19:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","109239","DJEДЊIJA PSIHIJATRIJSKA AMBULANTA","NO_SLOTS",,"28.06.2022. 17:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101409","DJEДЊIJA PULMOLOЕ KA AMBULANTA","HAS_SLOTS","30.04.2026. 12:40","13.03.2026. 10:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101411","DJEДЊIJA PULMOLOЕ KA AMBULANTA 2","HAS_SLOTS","27.04.2026. 12:40","02.03.2026. 09:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","102509","DJEДЊIJA UROLOЕ KA AMBULANTA","NO_SLOTS",,"20.04.2026. 19:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101328","DJEДЊIJI KABINET ZA EEG","HAS_SLOTS","30.04.2026. 13:15","03.04.2026. 13:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101128","DJEДЊIJI KABINET ZA ERGOMETRIJU","HAS_SLOTS","28.04.2026. 12:30","17.02.2026. 10:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","101118","DJEДЊIJI KABINET ZA HOLTER","HAS_SLOTS","26.02.2026. 08:30","12.02.2026. 08:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","107189","DJEДЊIJI MR ENTEROGRAFIJE","NO_SLOTS",,"25.05.2022. 18:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","107189","DJEДЊIJI MR ENTEROGRAFIJE","NO_SLOTS",,"25.05.2022. 16:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","107199","DJEДЊIJI MR UROGRAFIJE","NO_SLOTS",,"25.12.2025. 13:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"INSTITUT ZA BOLESTI DJECE","108100","DNEVNA BOLNICA IBD","NO_SLOTS",,"31.12.2022. 13:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
